junction,period_date,traffic_risk,risk_score,year,month,total_accidents,fatal_accidents,injury_accidents,accidents_7d,accidents_30d,accidents_90d,accidents_1y,fatal_accidents_1y,injury_accidents_1y,historical_accident_rate,quarter,is_year_start,month_sin,month_cos,day_of_week,dow_sin,dow_cos,weekend_indicator,accidents_lag_1,accidents_lag_2,accidents_lag_3,accidents_rolling_mean_3,accidents_rolling_std_3,accidents_rolling_mean_6,accidents_rolling_std_6,accidents_trend_3_12,junction_target_enc,junction_ordinal_enc
Automotive Square,2020-12-01,LOW,0.0,2020,12,0,0,0,0.0,0.0,1.0,4.0,0.0,3.0,0.333,4,0,-0.0,1.0,1,0.781831,0.62349,0,0.0,1.0,0.0,0.333,0.577,0.333,0.516,0.333,2.105208333333333,1
Automotive Square,2021-01-01,LOW,2.76,2021,1,1,0,1,0.0,0.0,0.0,4.0,0.0,3.0,0.333,1,1,0.5,0.866025,4,-0.433884,-0.900969,0,0.0,0.0,1.0,0.333,0.577,0.167,0.408,0.333,2.105208333333333,1
Automotive Square,2021-02-01,LOW,0.0,2021,2,0,0,0,1.0,1.0,1.0,5.0,0.0,4.0,0.417,1,0,0.866025,0.5,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.167,0.408,0.0,2.105208333333333,1
Automotive Square,2021-03-01,LOW,5.52,2021,3,2,0,2,0.0,0.0,1.0,4.0,0.0,4.0,0.333,1,0,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.0,0.333,0.577,0.333,0.516,0.333,2.105208333333333,1
Automotive Square,2021-04-01,LOW,0.0,2021,4,0,0,0,2.0,2.0,3.0,6.0,0.0,6.0,0.5,2,0,0.866025,-0.5,3,0.433884,-0.900969,0,0.0,1.0,0.0,0.333,0.577,0.333,0.516,0.222,2.105208333333333,1
Automotive Square,2021-05-01,LOW,0.0,2021,5,0,0,0,0.0,0.0,2.0,5.0,0.0,5.0,0.417,2,0,0.5,-0.866025,5,-0.974928,-0.222521,1,2.0,0.0,1.0,1.0,1.0,0.5,0.837,0.8,2.105208333333333,1
Automotive Square,2021-06-01,LOW,0.0,2021,6,0,0,0,0.0,0.0,2.0,4.0,0.0,4.0,0.333,2,0,0.0,-1.0,1,0.781831,0.62349,0,0.0,2.0,0.0,0.667,1.155,0.5,0.837,0.667,2.105208333333333,1
Automotive Square,2021-07-01,LOW,0.0,2021,7,0,0,0,0.0,0.0,0.0,4.0,0.0,4.0,0.333,3,0,-0.5,-0.866025,3,0.433884,-0.900969,0,0.0,0.0,2.0,0.667,1.155,0.5,0.837,0.667,2.105208333333333,1
Automotive Square,2021-08-01,LOW,7.18,2021,8,2,0,2,0.0,0.0,0.0,4.0,0.0,4.0,0.333,3,0,-0.866025,-0.5,6,-0.781831,0.62349,1,0.0,0.0,0.0,0.0,0.0,0.5,0.837,0.0,2.105208333333333,1
Automotive Square,2021-09-01,LOW,0.0,2021,9,0,0,0,2.0,2.0,2.0,6.0,0.0,6.0,0.5,3,0,-1.0,-0.0,2,0.974928,-0.222521,0,0.0,0.0,0.0,0.0,0.0,0.333,0.816,0.0,2.105208333333333,1
Automotive Square,2021-10-01,LOW,0.0,2021,10,0,0,0,0.0,0.0,2.0,5.0,0.0,5.0,0.417,4,0,-0.866025,0.5,4,-0.433884,-0.900969,0,2.0,0.0,0.0,0.667,1.155,0.667,1.033,0.534,2.105208333333333,1
Automotive Square,2021-11-01,LOW,0.0,2021,11,0,0,0,0.0,0.0,2.0,5.0,0.0,5.0,0.417,4,0,-0.5,0.866025,0,0.0,1.0,0,0.0,2.0,0.0,0.667,1.155,0.333,0.816,0.534,2.105208333333333,1
Automotive Square,2021-12-01,LOW,6.08,2021,12,1,0,1,0.0,0.0,0.0,5.0,0.0,5.0,0.417,4,0,-0.0,1.0,2,0.974928,-0.222521,0,0.0,0.0,2.0,0.667,1.155,0.333,0.816,0.534,2.105208333333333,1
Automotive Square,2022-01-01,LOW,0.0,2022,1,0,0,0,1.0,1.0,1.0,6.0,0.0,6.0,0.5,1,1,0.5,0.866025,5,-0.974928,-0.222521,1,0.0,0.0,0.0,0.0,0.0,0.333,0.816,0.0,2.105208333333333,1
Automotive Square,2022-02-01,LOW,1.1,2022,2,1,0,0,0.0,0.0,1.0,5.0,0.0,5.0,0.417,1,0,0.866025,0.5,1,0.781831,0.62349,0,1.0,0.0,0.0,0.333,0.577,0.5,0.837,0.266,2.105208333333333,1
