junction,year,month,period_date,total_accidents,fatal_accidents,injury_accidents,accidents_7d,accidents_30d,accidents_90d,accidents_1y,fatal_accidents_1y,injury_accidents_1y,historical_accident_rate,risk_score,traffic_risk
Pardi Naka,2020,5,2020-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Gokulpeth Market,2020,5,2020-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Automotive Square,2020,5,2020-05-01,1,0,1,1.0,1.0,2.0,2.0,0.0,1.0,0.167,2.76,LOW
Dharampeth Tower,2020,5,2020-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Pratap Nagar Square,2020,5,2020-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Jhansi Rani Square,2020,5,2020-05-01,5,1,5,3.0,3.0,12.0,16.0,1.0,9.0,1.333,25.41,MEDIUM
Wardha Road Toll Plaza,2020,5,2020-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
LIC Chowk,2020,6,2020-06-01,10,0,7,7.0,7.0,28.0,45.0,4.0,36.0,3.75,34.25,MEDIUM
Bhande Plot Square,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Chhatrapati Square,2020,6,2020-06-01,1,0,0,2.0,2.0,2.0,3.0,0.0,1.0,0.25,1.1,LOW
Dharampeth Tower,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Gokulpeth Market,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Wardha Road Toll Plaza,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Krida Chowk,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Sitabuldi Interchange,2020,6,2020-06-01,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.083,0.0,LOW
Medical Square,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Rachana Ring Road,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Sanvidhan Square,2020,6,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
